Accession	Virus Pangolin Classification	Geographic Location	Isolate Collection date	Host Name	Length	Completeness	Release date
OU389986.1	B.1.617.2	United Kingdom:England	2021-06-08	Homo sapiens	29890	COMPLETE	2021-07-13T00:00:00Z
OU394169.1	AY.4	United Kingdom:England	2021-06-11	Homo sapiens	29891	COMPLETE	2021-07-13T00:00:00Z
OU420114.1	B.1.617.2	United Kingdom:England	2021-06-07	Homo sapiens	29891	COMPLETE	2021-07-18T00:00:00Z
OU448268.1	AY.4	United Kingdom:England	2021-07-09	Homo sapiens	29890	COMPLETE	2021-07-26T00:00:00Z
OP773305.1	BA.5.2.21	USA: New Jersey	2022-10-09	Homo sapiens	29718	COMPLETE	2022-11-03T00:00:00Z
OP791467.1	BA.5.2	USA: California	2022-10-27	Homo sapiens	29592	COMPLETE	2022-11-08T00:00:00Z
OP814565.1	BA.5.2.1	USA: Minnesota	2022-10-27	Homo sapiens	29718	COMPLETE	2022-11-14T00:00:00Z
OP847532.1	BA.5.2	USA: Massachusetts	2022-11-03	Homo sapiens	29707	COMPLETE	2022-11-17T00:00:00Z
OP861130.1	BF.11	USA: Pennsylvania	2022-11-01	Homo sapiens	29687	COMPLETE	2022-11-19T00:00:00Z
OP875951.1	BQ.1	USA: California	2022-11-09	Homo sapiens	29720	COMPLETE	2022-11-22T00:00:00Z
OP907446.1	BQ.1.1	USA: California	2022-11-16	Homo sapiens	29688	COMPLETE	2022-11-29T00:00:00Z
OP916984.1	BA.5.2.1	USA: Ohio	2022-11-11	Homo sapiens	29718	COMPLETE	2022-11-29T00:00:00Z
PV472929.1	BA.1.1	USA	2022-01-18	Homo sapiens	29813	COMPLETE	2025-04-09T00:00:00Z
OR274918.1	B.1.177.81	France	2021-01	Homo sapiens	29702	COMPLETE	2023-07-17T00:00:00Z
OR300929.1	B.1.2	USA	2020-11-23	Homo sapiens	29828	COMPLETE	2023-07-20T00:00:00Z
OR308502.1	B.1.1	USA	2020-10-12	Homo sapiens	29828	COMPLETE	2023-07-20T00:00:00Z
OR314692.1	AY.103	USA	2021-10-30	Homo sapiens	29808	COMPLETE	2023-07-20T00:00:00Z
OR326043.1	BA.5.2	France	2022-07	Homo sapiens	29669	COMPLETE	2023-07-20T00:00:00Z
OY288058.1	XBB.1.5.37	United Kingdom:Northern_Ireland	2023-04-11	Homo sapiens	29850	COMPLETE	2023-07-15T00:00:00Z
OY293393.1	XBB.1.5.1	United Kingdom:England	2023-03-11	Homo sapiens	29841	COMPLETE	2023-07-16T00:00:00Z
OY297044.1	B.1.1.7	United Kingdom:England	2020	Homo sapiens	29903	COMPLETE	2023-07-17T00:00:00Z
OY301862.1	BA.5.3.3	United Kingdom:England	2022-07-05	Homo sapiens	29829	COMPLETE	2023-07-17T00:00:00Z
OY306390.1	unclassifiable	United Kingdom:England	2022-03-24	Homo sapiens	29885	COMPLETE	2023-07-17T00:00:00Z
OY310305.1	BA.1.1	United Kingdom:England	2022-01-11	Homo sapiens	29754	COMPLETE	2023-07-17T00:00:00Z
OY313678.1	BA.5.1	United Kingdom:England	2022-09-15	Homo sapiens	29844	COMPLETE	2023-07-17T00:00:00Z
OY319128.1	unclassifiable	United Kingdom:England	2021-07-24	Homo sapiens	29896	COMPLETE	2023-07-18T00:00:00Z
OY322673.1	BA.2	United Kingdom:England	2022-03-28	Homo sapiens	29876	COMPLETE	2023-07-18T00:00:00Z
OY328057.1	BA.5.2	United Kingdom:England	2022-07-13	Homo sapiens	29894	COMPLETE	2023-07-18T00:00:00Z
OY331701.1	AY.4.2	United Kingdom:England	2021-10-29	Homo sapiens	29897	COMPLETE	2023-07-18T00:00:00Z
OY335670.1	BA.1.1	United Kingdom:England	2022-01-18	Homo sapiens	29870	COMPLETE	2023-07-18T00:00:00Z
OY339780.1	unclassifiable	United Kingdom:England	2021-07-08	Homo sapiens	29897	COMPLETE	2023-07-18T00:00:00Z
OY345755.1	unclassifiable	United Kingdom:England	2021-02-07	Homo sapiens	29884	COMPLETE	2023-07-19T00:00:00Z
OY350707.1	AY.4	United Kingdom:England	2021-08-31	Homo sapiens	29897	COMPLETE	2023-07-19T00:00:00Z
OY355089.1	B.1.617.2	United Kingdom:England	2021-09-04	Homo sapiens	29891	COMPLETE	2023-07-19T00:00:00Z
OY357613.1	AY.4	United Kingdom:England	2021-09-13	Homo sapiens	29891	COMPLETE	2023-07-19T00:00:00Z
OY363280.1	B.1.1.7	United Kingdom:England	2021-03-07	Homo sapiens	29884	COMPLETE	2023-07-19T00:00:00Z
OY368280.1	BA.1.1	United Kingdom:Scotland	2022-01-04	Homo sapiens	29873	COMPLETE	2023-07-20T00:00:00Z
OY373755.1	BA.1.1	United Kingdom:Scotland	2022-02-21	Homo sapiens	29870	COMPLETE	2023-07-20T00:00:00Z
OY378432.1	BA.1	United Kingdom:Scotland	2022-02-17	Homo sapiens	29873	COMPLETE	2023-07-20T00:00:00Z
OY382194.1	AY.4	United Kingdom:Scotland	2021-11-24	Homo sapiens	29896	COMPLETE	2023-07-20T00:00:00Z
OY386031.1	BA.5.1	United Kingdom:Scotland	2022-06-30	Homo sapiens	29844	COMPLETE	2023-07-20T00:00:00Z
OY388844.1	BA.5.1.23	United Kingdom:Scotland	2022-07-17	Homo sapiens	29844	COMPLETE	2023-07-20T00:00:00Z
OY392822.1	AY.4	United Kingdom:Scotland	2021-07-04	Homo sapiens	29896	COMPLETE	2023-07-22T00:00:00Z
OY396755.1	BA.5.1	United Kingdom:Scotland	2022-06-12	Homo sapiens	29844	COMPLETE	2023-07-22T00:00:00Z
OY401368.1	BA.2	United Kingdom:Wales	2022-04-09	Homo sapiens	29850	COMPLETE	2023-07-22T00:00:00Z
OY406274.1	AY.4	United Kingdom:Wales	2021-10-25	Homo sapiens	29890	COMPLETE	2023-07-22T00:00:00Z
OY410161.1	BA.1	United Kingdom:Wales	2022-01-26	Homo sapiens	29872	COMPLETE	2023-07-22T00:00:00Z
OY415107.1	XBB.1.9	United Kingdom:Wales	2023-03-28	Homo sapiens	29848	COMPLETE	2023-07-22T00:00:00Z
OY420306.1	BA.1	United Kingdom:Wales	2022-01-23	Homo sapiens	29873	COMPLETE	2023-07-23T00:00:00Z
OY424017.1	BA.1	United Kingdom:Wales	2022-02-06	Homo sapiens	29874	COMPLETE	2023-07-23T00:00:00Z
OY427796.1	AY.4.2	United Kingdom:Wales	2021-11-21	Homo sapiens	29890	COMPLETE	2023-07-23T00:00:00Z
OY432014.1	BQ.1	United Kingdom:Wales	2022-12-25	Homo sapiens	29835	COMPLETE	2023-07-25T00:00:00Z
OY436497.1	BA.1.1	United Kingdom:Wales	2022-02-19	Homo sapiens	29873	COMPLETE	2023-07-25T00:00:00Z
OY441577.1	BA.2	United Kingdom:Wales	2022-03-10	Homo sapiens	29850	COMPLETE	2023-07-25T00:00:00Z
OY445236.1	BF.11.2	United Kingdom:Wales	2022-10-17	Homo sapiens	29844	COMPLETE	2023-07-25T00:00:00Z
OY449286.1	BA.1	United Kingdom:Wales	2022-01-23	Homo sapiens	29873	COMPLETE	2023-07-25T00:00:00Z
OY453361.1	BA.2	United Kingdom:Wales	2022-04-01	Homo sapiens	29850	COMPLETE	2023-07-25T00:00:00Z
OY457285.1	AY.98	United Kingdom:Wales	2021-10-03	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY462431.1	BA.2	United Kingdom:Wales	2022-03-13	Homo sapiens	29850	COMPLETE	2023-07-25T00:00:00Z
OY467810.1	unclassifiable	United Kingdom:Wales	2021-08-02	Homo sapiens	29903	COMPLETE	2023-07-25T00:00:00Z
OY472951.1	BA.2	United Kingdom:Wales	2022-03-09	Homo sapiens	29851	COMPLETE	2023-07-25T00:00:00Z
OY477376.1	AY.4	United Kingdom:Wales	2021-12-20	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY480644.1	BA.2	United Kingdom:Wales	2022-01-31	Homo sapiens	29851	COMPLETE	2023-07-25T00:00:00Z
OY484645.1	AY.127	United Kingdom:Wales	2021-11-16	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY488541.1	AY.4	United Kingdom:Wales	2021-09-25	Homo sapiens	29890	COMPLETE	2023-07-25T00:00:00Z
OY492954.1	AY.4	United Kingdom:Wales	2021-11-06	Homo sapiens	29887	COMPLETE	2023-07-26T00:00:00Z
OY497976.1	BA.2	United Kingdom:Wales	2022-03-09	Homo sapiens	29850	COMPLETE	2023-07-26T00:00:00Z
OY503036.1	BA.1	United Kingdom:Wales	2022-02-08	Homo sapiens	29873	COMPLETE	2023-07-26T00:00:00Z
OY507807.1	BA.5.2	United Kingdom:Wales	2022-09-03	Homo sapiens	29833	COMPLETE	2023-07-26T00:00:00Z
OY511815.1	BA.2	United Kingdom:Wales	2022-03-10	Homo sapiens	29844	COMPLETE	2023-07-26T00:00:00Z
OY515237.1	BA.2.23	United Kingdom:Wales	2022-03-17	Homo sapiens	29850	COMPLETE	2023-07-26T00:00:00Z
OY518493.1	BA.1.17.2	United Kingdom:Wales	2021-12-27	Homo sapiens	29873	COMPLETE	2023-07-27T00:00:00Z
OY523815.1	AY.4	United Kingdom:Wales	2021-10-10	Homo sapiens	29890	COMPLETE	2023-07-27T00:00:00Z
OY527427.1	BA.1.17.2	United Kingdom:England	2021-12-25	Homo sapiens	29873	COMPLETE	2023-07-27T00:00:00Z
OY531885.1	AY.90	United Kingdom:Wales	2021-09-24	Homo sapiens	29890	COMPLETE	2023-07-27T00:00:00Z
OY536261.1	BA.1.17.2	United Kingdom:Wales	2022-01-02	Homo sapiens	29873	COMPLETE	2023-07-27T00:00:00Z
OY542259.1	AY.4	United Kingdom:Wales	2021-10-09	Homo sapiens	29887	COMPLETE	2023-07-28T00:00:00Z
OY546911.1	AY.4	United Kingdom:Wales	2021-10-31	Homo sapiens	29887	COMPLETE	2023-07-28T00:00:00Z
OY551753.1	AY.4	United Kingdom:Wales	2021-08-09	Homo sapiens	29890	COMPLETE	2023-07-28T00:00:00Z
OY556839.1	AY.4.2	United Kingdom:Wales	2021-11-18	Homo sapiens	29890	COMPLETE	2023-07-28T00:00:00Z
OY560634.1	DV.1	United Kingdom:Wales	2023-04-07	Homo sapiens	29851	COMPLETE	2023-07-28T00:00:00Z
OY564231.1	AY.4.2.1	United Kingdom:Wales	2021-11-28	Homo sapiens	29890	COMPLETE	2023-07-28T00:00:00Z
OY568124.1	BA.1.17.2	United Kingdom:Wales	2022-01-20	Homo sapiens	29873	COMPLETE	2023-07-29T00:00:00Z
OY572874.1	AY.4	United Kingdom:Wales	2021-08-10	Homo sapiens	29826	COMPLETE	2023-07-30T00:00:00Z
OY577701.1	AY.4	United Kingdom:Wales	2021-09-07	Homo sapiens	29890	COMPLETE	2023-07-30T00:00:00Z
OY581952.1	AY.4	United Kingdom:Wales	2021-08-09	Homo sapiens	29890	COMPLETE	2023-07-30T00:00:00Z
OY586812.1	BA.1.15	United Kingdom:Wales	2022-01-11	Homo sapiens	29873	COMPLETE	2023-07-30T00:00:00Z
OY590398.1	B	United Kingdom:England	2020-03-23	Homo sapiens	29903	COMPLETE	2023-07-30T00:00:00Z
OY594941.1	B.1.1.7	United Kingdom:England	2020-12-28	Homo sapiens	29893	COMPLETE	2023-07-30T00:00:00Z
OY599652.1	AY.4	United Kingdom:England	2021-07-05	Homo sapiens	29890	COMPLETE	2023-07-30T00:00:00Z
OY604385.1	B.1.1.7	United Kingdom:England	2021-02-17	Homo sapiens	29884	COMPLETE	2023-07-30T00:00:00Z
OY609432.1	unclassifiable	United Kingdom:England	2021-01-30	Homo sapiens	29884	COMPLETE	2023-07-30T00:00:00Z
OY614345.1	B.1.1.7	United Kingdom:England	2021-01-14	Homo sapiens	29884	COMPLETE	2023-07-30T00:00:00Z
OZ289841.1	B.1.177.62	Germany:Northrhine Westphalia; Duesseldorf metropolitan area	2021-02-25	Homo sapiens	29903	COMPLETE	2025-07-31T00:00:00Z
PX885689.1	XFG.4	USA: California	2025-08-31	Homo sapiens	29787	COMPLETE	2026-01-19T00:00:00Z
PV147577.1	XEC.2	USA: New Jersey	2025-02-05	Homo sapiens	29691	COMPLETE	2025-02-20T00:00:00Z
FR996619.1	B.28	United Kingdom:England	2020-04-15	Homo sapiens	29782	COMPLETE	2021-04-07T00:00:00Z
MW850909.1	B.1.427	USA: Illinois	2021-03-02	Homo sapiens	29887	COMPLETE	2021-04-02T00:00:00Z
MW882047.1	B.1.526	USA: Pennsylvania, Philadelphia	2021-03-08	Homo sapiens	29872	COMPLETE	2021-04-08T00:00:00Z
MW904299.1	B.1.575	USA: Massachusetts	2021-03-16	Homo sapiens	29828	COMPLETE	2021-04-12T00:00:00Z
MW912038.1	B.1.1.7	USA: Minnesota	2021-03-20	Homo sapiens	29807	COMPLETE	2021-04-13T00:00:00Z
MW935765.1	B.1.2	USA: Pennsylvania, Philadelphia	2021-03-13	Homo sapiens	29882	COMPLETE	2021-04-16T00:00:00Z
MW966811.1	B.1.1.7	USA: Pennsylvania	2021-03-16	Homo sapiens	29881	COMPLETE	2021-04-20T00:00:00Z
MW976204.1	B.1.526	USA: Connecticut	2021-03-09	Homo sapiens	29772	COMPLETE	2021-04-20T00:00:00Z
MW993146.1	B.1.1.519	USA: Alaska	2021-03-13	Homo sapiens	29876	COMPLETE	2021-04-22T00:00:00Z
MZ008259.1	B.1.526	USA: California, Los Angeles County	2021-04-01	Homo sapiens	29810	COMPLETE	2021-04-23T00:00:00Z
MZ022422.1	B.1.1.7	USA: New Jersey	2021-03-27	Homo sapiens	29865	COMPLETE	2021-04-25T00:00:00Z
MZ035291.1	B.1.526	USA: Pennsylvania	2021-04-04	Homo sapiens	29817	COMPLETE	2021-04-27T00:00:00Z
MZ056080.1	B.1.2	USA: CO	2021-02-04	Homo sapiens	29867	COMPLETE	2021-04-29T00:00:00Z
OA965320.1	B.1.93	United Kingdom:Scotland	2020-03-27	Homo sapiens	29782	COMPLETE	2021-04-12T00:00:00Z
OA969332.1	B.1.1.1	United Kingdom:England	2020-08-03	Homo sapiens	29908	COMPLETE	2021-04-12T00:00:00Z
OA973176.1	B.1.1.4	United Kingdom:England	2020-08-31	Homo sapiens	29903	COMPLETE	2021-04-12T00:00:00Z
OA976788.1	B.1.1.365	United Kingdom:England	2020-06-12	Homo sapiens	29903	COMPLETE	2021-04-19T00:00:00Z
OA981710.1	B.1.1.217	United Kingdom:England	2020-05-21	Homo sapiens	29782	COMPLETE	2021-04-19T00:00:00Z
OA990570.1	B.1.160	United Kingdom:England	2020-09-22	Homo sapiens	29903	COMPLETE	2021-04-20T00:00:00Z
OA995523.1	B.1.177	United Kingdom:England	2020-10-07	Homo sapiens	29903	COMPLETE	2021-04-20T00:00:00Z
OA999426.1	B.1.36.7	United Kingdom:England	2020-09-21	Homo sapiens	29900	COMPLETE	2021-04-20T00:00:00Z
OB984366.1	B.1.177.4	United Kingdom:England	2020-10-12	Homo sapiens	29903	COMPLETE	2021-04-20T00:00:00Z
OB989689.1	B.1.160	United Kingdom:England	2020-10-24	Homo sapiens	29903	COMPLETE	2021-04-20T00:00:00Z
OB993287.1	B.1.389	United Kingdom:England	2020-11-05	Homo sapiens	29903	COMPLETE	2021-04-20T00:00:00Z
OB998291.1	B.1.1.7	United Kingdom:England	2021-02-25	Homo sapiens	29884	COMPLETE	2021-04-23T00:00:00Z
OC999654.1	B.1.177.11	United Kingdom:England	2020-10-30	Homo sapiens	29903	COMPLETE	2021-04-23T00:00:00Z
OD902289.1	B.1.177	United Kingdom:England	2020-11-20	Homo sapiens	29903	COMPLETE	2021-04-23T00:00:00Z
OD906343.1	B.1.1.7	United Kingdom:England	2020-12-12	Homo sapiens	29884	COMPLETE	2021-04-23T00:00:00Z
OD910616.1	B.1.177.4	United Kingdom:England	2020-12-07	Homo sapiens	29903	COMPLETE	2021-04-23T00:00:00Z
OD915207.1	B.1.177	United Kingdom:England	2020-12-16	Homo sapiens	29903	COMPLETE	2021-04-29T00:00:00Z
OD920232.1	B.1.1.7	United Kingdom:England	2020-12-24	Homo sapiens	29884	COMPLETE	2021-04-29T00:00:00Z
OD925282.1	B.1.1.7	United Kingdom:England	2020-12-26	Homo sapiens	29884	COMPLETE	2021-04-29T00:00:00Z
OD929622.1	B.1.177	United Kingdom:England	2021-01-05	Homo sapiens	29903	COMPLETE	2021-04-29T00:00:00Z
OD933955.1	B.1.1.7	United Kingdom:England	2021-01-09	Homo sapiens	29884	COMPLETE	2021-04-29T00:00:00Z
OD938704.1	B.1.1.7	United Kingdom:England	2021-01-11	Homo sapiens	29884	COMPLETE	2021-04-29T00:00:00Z
OD943433.1	B.1.1.7	United Kingdom:England	2021-01-11	Homo sapiens	29884	COMPLETE	2021-04-29T00:00:00Z
OD948279.1	B.1.1.7	United Kingdom:England	2021-01-19	Homo sapiens	29884	COMPLETE	2021-04-29T00:00:00Z
OZ020470.1	JN.1.7	United Kingdom:England	2024-02-19	Homo sapiens	29874	COMPLETE	2024-03-02T00:00:00Z
PP477586.1	JN.1	USA	2024-01-28	Homo sapiens	29780	COMPLETE	2024-03-13T00:00:00Z
OM870993.1	BA.1.20	USA: Tennessee	2022-01-29	Homo sapiens	29750	COMPLETE	2022-03-01T00:00:00Z
OM880326.1	BA.1.1	USA: California	2022-02-17	Homo sapiens	29783	COMPLETE	2022-03-02T00:00:00Z
OM893865.1	BA.1.1	USA: Vermont	2022-02-07	Homo sapiens	29747	COMPLETE	2022-03-02T00:00:00Z
OM909659.2	BA.1.18	USA: Indiana	2022-02-17	Homo sapiens	29873	COMPLETE	2022-03-04T00:00:00Z
OM923101.1	BA.1.1.18	USA: Colorado	2022-02-04	Homo sapiens	29770	COMPLETE	2022-03-07T00:00:00Z
OM936240.2	BA.1.1	USA: California	2022-02-22	Homo sapiens	29854	COMPLETE	2022-03-08T00:00:00Z
OM949147.1	BA.1.1	USA: Arkansas	2022-02-17	Homo sapiens	29747	COMPLETE	2022-03-09T00:00:00Z
OM967919.1	BA.1.1.18	USA: Colorado	2022-02-15	Homo sapiens	29770	COMPLETE	2022-03-11T00:00:00Z
OM979968.1	BA.1.1.18	USA: Colorado	2022-02-19	Homo sapiens	29770	COMPLETE	2022-03-13T00:00:00Z
OM998974.1	BA.1.1	USA: Wisconsin	2022-02-25	Homo sapiens	29747	COMPLETE	2022-03-16T00:00:00Z
ON011029.1	BA.1.1	USA	2022-01-13	Homo sapiens	29763	COMPLETE	2022-03-17T00:00:00Z
ON030631.1	BA.1.1	USA: West Virginia	2022-02-23	Homo sapiens	29748	COMPLETE	2022-03-21T00:00:00Z
ON043765.1	BA.1.1	USA: Massachusetts	2022-03-13	Homo sapiens	29821	COMPLETE	2022-03-22T00:00:00Z
ON066696.1	BA.2.9.2	USA: Connecticut	2022-03-16	Homo sapiens	29804	COMPLETE	2022-03-25T00:00:00Z
ON074366.1	B.1.637	USA: New Mexico	2021-04-15	Homo sapiens	29767	COMPLETE	2022-03-25T00:00:00Z
ON084495.1	BA.1	USA: Maryland	2022-03-13	Homo sapiens	29747	COMPLETE	2022-03-28T00:00:00Z
ON104224.1	BA.1.1.18	USA	2022-01-12	Homo sapiens	29752	COMPLETE	2022-03-30T00:00:00Z
ON121534.1	BA.1.1	USA	2022-03-10	Homo sapiens	29747	COMPLETE	2022-03-31T00:00:00Z
OW097038.1	AY.4	United Kingdom:Wales	2021-12-06	Homo sapiens	29896	COMPLETE	2022-03-09T00:00:00Z
OW102304.1	BA.1.15	United Kingdom:England	2021-12-19	Homo sapiens	29873	COMPLETE	2022-03-09T00:00:00Z
OW106493.1	AY.4.2	United Kingdom:England	2020	Homo sapiens	29890	COMPLETE	2022-03-09T00:00:00Z
OW110513.1	AY.4	United Kingdom:England	2021-08-07	Homo sapiens	29890	COMPLETE	2022-03-09T00:00:00Z
OW126528.1	BA.1.1	Slovakia	2022-02-21	Homo sapiens	29867	COMPLETE	2022-03-15T00:00:00Z
OW313157.1	BA.2	Slovakia	2022-03-06	Homo sapiens	29850	COMPLETE	2022-03-29T00:00:00Z
OZ016915.1	JN.1	United Kingdom:England	2024-02-12	Homo sapiens	29862	COMPLETE	2024-02-21T00:00:00Z
PP268904.1	JN.1.9	USA: New York	2024-01-20	Homo sapiens	29721	COMPLETE	2024-02-05T00:00:00Z
PP338641.1	JN.1	USA	2024-01-03	Homo sapiens	29725	COMPLETE	2024-02-15T00:00:00Z
PP408593.1	JN.1	USA: New York	2024-02-08	Homo sapiens	29721	COMPLETE	2024-02-28T00:00:00Z
MZ500053.1	B.1.2	USA: West Virginia	2021-02-24	Homo sapiens	29830	COMPLETE	2021-07-06T00:00:00Z
MZ536566.1	P.1	USA: Florida	2021-06-11	Homo sapiens	29777	COMPLETE	2021-07-09T00:00:00Z
MZ600016.1	B.1.1.7	USA: Pennsylvania	2021-05-13	Homo sapiens	29796	COMPLETE	2021-07-21T00:00:00Z
MZ641790.1	B.1.526	USA	2021-02-22	Homo sapiens	29772	COMPLETE	2021-07-27T00:00:00Z
OU387372.1	B.1.1.7	United Kingdom:England	2020-12-30	Homo sapiens	29885	COMPLETE	2021-07-13T00:00:00Z
OU392086.1	B.1.1.7	United Kingdom:England	2021-02-07	Homo sapiens	29884	COMPLETE	2021-07-13T00:00:00Z
OU417964.1	B.1.1.7	United Kingdom:England	2021-05-16	Homo sapiens	29884	COMPLETE	2021-07-18T00:00:00Z
OU447305.1	B.1.177.8	United Kingdom:England	2020-10-10	Homo sapiens	29903	COMPLETE	2021-07-26T00:00:00Z
OY759089.1	EG.5.1	United Kingdom:England	2023-10-27	Homo sapiens	29847	COMPLETE	2023-11-08T00:00:00Z
PV074388.1	NY.8	USA: Iowa	2025-01-31	Homo sapiens	29757	COMPLETE	2025-02-06T00:00:00Z
OR598414.1	GE.1	USA: Florida	2023-09-06	Homo sapiens	29718	COMPLETE	2023-09-26T00:00:00Z
OY732202.1	EG.5.1.6	United Kingdom:Scotland	2023-08-18	Homo sapiens	29847	COMPLETE	2023-09-08T00:00:00Z
OY739221.1	BQ.1.1.3	United Kingdom:England	2023-01-03	Homo sapiens	29870	COMPLETE	2023-09-26T00:00:00Z
OM872288.1	BA.1.15	USA: West Virginia	2022-02-11	Homo sapiens	29653	COMPLETE	2022-03-01T00:00:00Z
OM879392.1	BA.1.1	USA: California	2022-02-16	Homo sapiens	29783	COMPLETE	2022-03-02T00:00:00Z
OM890771.1	BA.1.1	USA: Florida	2022-02-20	Homo sapiens	29794	COMPLETE	2022-03-02T00:00:00Z
OM909763.2	BA.1.1	USA: Florida	2022-02-17	Homo sapiens	29873	COMPLETE	2022-03-04T00:00:00Z
OM921207.1	BA.1.15	USA: IN	2022-02-05	Homo sapiens	29819	COMPLETE	2022-03-07T00:00:00Z
OM933140.1	BA.1.1.2	USA: Hawaii	2022-02-19	Homo sapiens	29747	COMPLETE	2022-03-07T00:00:00Z
OM944940.2	BA.1.1	USA: Pennsylvania	2022-02-23	Homo sapiens	29871	COMPLETE	2022-03-09T00:00:00Z
OM957633.1	BA.1.1	USA: Tennessee	2022-02-14	Homo sapiens	29750	COMPLETE	2022-03-10T00:00:00Z
OM973934.1	BA.1.1	USA: Vermont	2022-03-01	Homo sapiens	29827	COMPLETE	2022-03-11T00:00:00Z
OM996841.1	BA.1.1	USA: Colorado	2022-02-20	Homo sapiens	29770	COMPLETE	2022-03-16T00:00:00Z
ON017181.1	B.1.1.28	Paraguay	2020-07-30	Homo sapiens	29849	COMPLETE	2022-03-18T00:00:00Z
ON034651.1	BA.1.15	USA: Ohio	2022-03-04	Homo sapiens	29747	COMPLETE	2022-03-21T00:00:00Z
ON048027.1	BA.1.1	USA: North Carolina	2022-03-05	Homo sapiens	29682	COMPLETE	2022-03-23T00:00:00Z
ON067952.1	BA.1.1	USA: Colorado	2022-03-08	Homo sapiens	29770	COMPLETE	2022-03-25T00:00:00Z
ON079749.1	BA.1.1	USA: Tennessee	2022-03-03	Homo sapiens	29794	COMPLETE	2022-03-28T00:00:00Z
ON094900.1	BA.2.7	USA: Massachusetts	2022-03-17	Homo sapiens	29804	COMPLETE	2022-03-29T00:00:00Z
ON117736.1	BA.1.1	USA: FL	2022-02-02	Homo sapiens	29747	COMPLETE	2022-03-31T00:00:00Z
OW095634.1	AY.4	United Kingdom:England	2021-12-13	Homo sapiens	29890	COMPLETE	2022-03-09T00:00:00Z
OW100156.1	AY.4.2.1	United Kingdom:England	2021-12-11	Homo sapiens	29890	COMPLETE	2022-03-09T00:00:00Z
OW104184.1	AY.4	United Kingdom:England	2021-09-13	Homo sapiens	29890	COMPLETE	2022-03-09T00:00:00Z
OW108344.2	AY.4	United Kingdom:England	2021-12-19	Homo sapiens	29890	COMPLETE	2022-03-09T00:00:00Z
OW120763.1	BA.1	Slovakia	2022-01-17	Homo sapiens	29873	COMPLETE	2022-03-12T00:00:00Z
OW217803.1	BA.1.1.1	Slovakia	2022-02-20	Homo sapiens	29861	COMPLETE	2022-03-26T00:00:00Z
OQ394616.1	BA.5.5	USA: West Virginia	2022-07-05	Homo sapiens	29736	COMPLETE	2023-02-07T00:00:00Z
OQ444252.1	DN.2	USA	2023-01-28	Homo sapiens	29718	COMPLETE	2023-02-16T00:00:00Z
OQ522933.1	AY.99.2	Brazil	2021-10-17	Homo sapiens	29810	COMPLETE	2023-02-27T00:00:00Z
OX425590.1	XBB	United Kingdom:Scotland	2022-12-19	Homo sapiens	29877	COMPLETE	2023-02-17T00:00:00Z
OX432414.1	EF.2	United Kingdom:Scotland	2022-12-12	Homo sapiens	29844	COMPLETE	2023-02-21T00:00:00Z
OZ223058.1	XEC	United Kingdom:Northern_Ireland	2024-10-31	Homo sapiens	29851	COMPLETE	2025-02-11T00:00:00Z
MZ684609.1	Q.3	USA	2021-04-26	Homo sapiens	29801	COMPLETE	2021-08-03T00:00:00Z
MZ722216.1	B.1.429	USA: California,Los Angeles County	2020-12-24	Homo sapiens	29903	COMPLETE	2021-08-07T00:00:00Z
MZ834717.2	AY.44	USA	2021-07-27	Homo sapiens	29782	COMPLETE	2021-08-19T00:00:00Z
MZ952622.1	B.1.617.2	USA: Florida	2021-08-05	Homo sapiens	29829	COMPLETE	2021-08-30T00:00:00Z
OU489349.1	AY.4	United Kingdom:England	2021-07-24	Homo sapiens	29890	COMPLETE	2021-08-10T00:00:00Z
BS004088.1	BC.1	Japan:Shizuoka, east	2022-03-02	Homo sapiens	29780	COMPLETE	2022-04-27T00:00:00Z
ON139763.1	BA.2.3	USA: Michigan	2022-03-16	Homo sapiens	29718	COMPLETE	2022-04-02T00:00:00Z
ON151645.1	BA.2.3	USA: Oregon	2022-03-23	Homo sapiens	29727	COMPLETE	2022-04-05T00:00:00Z
ON177760.1	BA.1.1	USA: Pennsylvania	2022-03-22	Homo sapiens	29747	COMPLETE	2022-04-07T00:00:00Z
ON199221.1	BA.1.1	USA: Massachusetts	2022-03-28	Homo sapiens	29827	COMPLETE	2022-04-10T00:00:00Z
ON214226.1	AY.103	USA	2021-10-04	Homo sapiens	29816	COMPLETE	2022-04-12T00:00:00Z
ON234608.1	BA.1.1	USA: California	2022-03-25	Homo sapiens	29744	COMPLETE	2022-04-14T00:00:00Z
ON250412.1	BA.2	USA: Vermont	2022-03-31	Homo sapiens	29724	COMPLETE	2022-04-18T00:00:00Z
ON263786.1	BA.1.1	USA	2022-01-27	Homo sapiens	29791	COMPLETE	2022-04-19T00:00:00Z
ON273775.1	AY.43	France	2021-12-22	Homo sapiens	29689	COMPLETE	2022-04-19T00:00:00Z
ON284175.1	B.1.617.2	France	2021-07-26	Homo sapiens	29689	COMPLETE	2022-04-19T00:00:00Z
ON298064.1	B.1	France	2020-04-14	Homo sapiens	29703	COMPLETE	2022-04-20T00:00:00Z
